"№";"НАЗВАНИЕ ";"АДРЕС ";"ЗАЯВКА- СМЕТА ";"ДАТА  МОНТАЖА ";"номер сим";"ПУЛЬТОВЫЙ  НОМЕР ";"Статус заявки";"Latitude";"Longitude";"-"
"1";"  ИП Шайхутдинов Денис Амирович (АЗС «Tamic  Enerdgy»)";"Московская область, г.Руза, Волоколамское шоссе, 8,";"34930 от 11.04.2025";"Fri Apr 18 2025 00:00:00 GMT+0300 (Moscow Standard Time)";"9184379648";"53681";"не назначено";"55.70927289999999";"36.1823824";"-"
"2";"  ИП Шайхутдинов Денис Амирович (АЗС «Tamic  Enerdgy»)";" Московская область, г. Чехов Симферопольское шоссе 72 км,";"34913 от 11.04.2025";"Fri Apr 18 2025 00:00:00 GMT+0300 (Moscow Standard Time)";"9184375067";"53673";"не назначено";"55.2800032";"37.5099093";"-"
"3";"-";"-";"-";"-";"-";"-";"не назначено";"54.9402436";"39.0279591";"-"
"4";"-";"-";"-";"-";"-";"-";"готово";"55.0806382";"38.8164839";"-"
"5";"-";"-";"-";"-";"-";"-";"готово";"55.8437407";"37.1722593";"-"
"6";"-";"-";"-";"-";"-";"-";"готово";"54.8323855";"37.6210556";"-"
"7";"-";"-";"-";"-";"-";"-";"готово";"55.709276";"37.381138";"-"
"8";"-";"-";"-";"-";"-";"-";"готово";"55.8137766";"38.437827";"-"
"9";"-";"-";"-";"-";"-";"-";"в стопе";"55.619432";"37.715003";"МОНТАЖ МОЖНО ДЕЛАТЬ НА СЛЕД НЕДЕЛЕ"
"10";"-";"-";"-";"-";"-";"-";"готово";"55.6136786";"38.0381005";"Терехов "
"11";"-";"-";"-";"-";"-";"-";"готово";"55.6051441";"37.6690991";"-"
"12";"-";"-";"-";"-";"-";"-";"готово";"55.7067371";"37.3938679";"-"
"13";"-";"-";"-";"-";"-";"-";"готово";"55.65217759999999";"37.6570164";"-"
"14";"-";"-";"-";"-";"-";"-";"готово";"55.252358";"38.7522685";"-"
"15";"-";"-";"-";"-";"-";"-";"готово";"54.94222449999999";"37.4090882";"-"
"16";"-";"-";"-";"-";"-";"-";"готово";"55.41455089999999";"38.2504237";"-"
"17";"-";"-";"-";"-";"-";"-";"готово";"55.8259439";"37.3531812";"-"
"18";"-";"-";"-";"-";"-";"-";"готово";"55.6680027";"37.6553953";"-"
"19";"-";"-";"-";"-";"-";"-";"готово";"55.6420334";"37.5511411";"-"
"20";"-";"-";"-";"-";"-";"-";"готово";"55.6499968";"37.3730825";"-"
"21";"-";"-";"-";"-";"-";"-";"готово";"54.9179562";"37.4229963";"-"
"22";"-";"-";"-";"-";"-";"-";"готово";"54.918023";"37.4536169";"-"
"23";"  ИП Шайхутдинов Денис Амирович (АЗС «Tamic  Enerdgy»)";" Московская область Кашира,  54.818760, 38.144486 координаты";"34812 от 10.04.2025";"-";"-";"-";"готово";"54.8349583";"38.1507645";"-"
"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"-";"в стопе ";"-";"-";"-";"-";"-";"-";"-";"-";"-"
