п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"№ 885ТБ";"ООО Комфорт-Сервис"" / Гостиница Melton Hotel)";"Москва ул Барышиха, д. 40, к. 1";"САО+СЗАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.85317269999999";"37.3434221";"Новый";"#32515117"
"№844ТБ";"ООО «Рокет Джамп 1», студия по изготовлению тортиков";"г.Москва,пр-д Южнопортовый 2-й,д.5,к.1";"САО+СЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.783822";"37.667713";"Новый";"#34769465"
"138691";"ООО «ГранЛайн» (Офис)";"Балашиха, ул Лукино, д. 51А";"САО+СЗАО";"Эсток-Сервис";"Вершинина Е.В.";"КВ";"55.836575";"37.937462";"новый";"https://durnovcev2000.kaiten.ru/46677691"
"139085";"ООО ""Грин Макс""";"Москва ул Красноказарменная, д. 23";"САО+СЗАО";"Эсток-Сервис";"Михно С.С.";"КВ";"55.7534236";"37.7125254";"новый";"https://durnovcev2000.kaiten.ru/48022914"
"138673";"ООО «ЙЕС СТОМАТОЛОГИЯ +»/стоматология";"пгт. Лопатино, ул. Сухановская, д. 17";"САО+СЗАО";"Эсток-Сервис";"Дубовик А.С.";"КВ";"55.53250869999999";"37.6393013";"новый";"https://durnovcev2000.kaiten.ru/48220452"
"192215";"ООО ""ЧОП ""СТОРМ-БЕЗОПАСНОСТЬ""/(Пост охраны АО Московское протезно-ортопедическое предприятие)";"Москва, ул. Электрозаводская, д. 46";"САО+СЗАО";"ИП Гусев";"Гусев П.И.";"КВ";"55.79184559999999";"37.7082916";"новый";"https://durnovcev2000.kaiten.ru/48490203"
"138951";"ИП Бондаренко Владимир Николаевич (Офис)";"р.п. Заречье, ул. Луговая, д. 6, к. 1";"САО+СЗАО";"Эсток-Сервис";"Ахметкалиев Ф.Х.";"КВ";"55.6856662";"37.4084887";"новый";"https://durnovcev2000.kaiten.ru/48716124"
"138102";"ИП Богомолов Сергей Викторович";"Москва,  Новопесчаная, д. 6, к. 2";"САО+СЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.8009444";"37.5161642";"новый";"https://durnovcev2000.kaiten.ru/48717267"
"138954";"ООО «ГОРОДСКИЕ ЛЕГЕНДЫ» (Кофейня «surf coffee x lore»)";"Москва, Краснопрудная, д. 22-24";"САО+СЗАО";"Эсток-Сервис";"Сафин М.С.";"КВ";"55.77878699999999";"37.6652918";"новый";"https://durnovcev2000.kaiten.ru/48785355"
"138985";"ООО «АКОБА» (Бар ""Высокий градус"")";"г Чехов, б-р Вишневый, д. 1/3";"САО+СЗАО";"Эсток-Сервис";"Вершинина Е.В.";"КВ";"55.14741600000001";"37.488333";"новый";"https://durnovcev2000.kaiten.ru/49509172"
