п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"137260";"«ВсеИнструменты.ру»/Пункт выдачи ""Всеинструменты""";"Московская обл, г.о. Истра, д Высоково, ул Центральная, зд. 40";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.9141765";"36.8596653";"новый";"#33668788"
"137194";"ООО ""Фаэлит""";"Москва Коминтерна, 15,";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.9240422";"37.8137756";"новый";"#40148058"
"130150";"ИП Макарова М А Салон Красоты ""Top Nails""";"Москва, ул. Берёзовая аллея, 17 к. 2";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8497093";"37.6210878";"новый";"#40469694"
"1465";"ООО «ПОЛЬЗАБОКС» (Офис «ПОЛЬЗАБОКС»)";"г Королёв, ул Ломоносова, д. 7";"СВАО";"Технологии Безопасности";"Ахметкалиев Ф.Х.";"КВ";"55.9461509";"37.9038611";"новый";"#33142441"
"137827";"ООО «ПОТОК» / Гастроном «Белорусские товары/Табак/Пиво/Шаурма/Сахалинский икорный дом»";"Москва г, ул Изумрудная, д. 40";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8764226";"37.6907343";"новый";"#37167979"
"138101";"ИП Романов Сергей Андреевич/Кладовка ""СКЛАДНО""";"Москва проезд Кадомцева, д. 15";"СВАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.8277783";"37.6636649";"новый";"#38212683"
"151675";"ООО «Система»/Пекарня Буханка";"Москва г, ул Годовикова, д. 11, к. 2";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.6988401";"37.4619125";"новый";"https://durnovcev2000.kaiten.ru/space/328069/card/40678948"
"151675";"ООО «Система»/Пекарня Буханка";"Москва г, ул Годовикова, д. 11, к. 2";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.5020539";"37.3279478";"новый";"https://durnovcev2000.kaiten.ru/space/361472/card/40678948"
"137536";"ООО ""Аптека экономия 2""/Аптека ""ФармЛенд""";"Москва,ул.Мурановская,7";"СВАО";"Технологии Безопасности";"Гунин В.В.";"КВ";"55.89225";"37.597372";"новый";"#40906399"
"136019";"ООО «ВОСХОД»/ Пекарня Буханка";"Москва г, ул Складочная, д. 2";"СВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.801174";"37.5969652";"новый";"#41070147"
"138420";"ООО «ПРОМНАСОСИНЖИНИРИНГ» / Кладовые «Кладовкин»";"Москва,   пр-кт Мира, д. 131, к. 2";"СВАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.8311194";"37.6503523";"новый";"#41130143"
"138134";"АО «2ЛАБ» / Медицинский центр ""2 LAB""";"г Пушкино, ул Просвещения, д. 12, к. 2";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"56.0203578";"37.859733";"новый";"#41132459"
"133879";"ООО ФАТОШКА/Салон красоты";"Москва г, Фонвизина ул, дом 4";"СВАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.8192809";"37.5827281";"29. 11.2024";"#33668908"
"1376157";"ООО «ЭДЕМ»/Стоматология «ПрезиДент»";"Москва , ул Заповедная, д. 16, к. 1";"СВАО";"Технологии Безопасности";"Сергеев Н.Р.";"КВ";"55.8670154";"37.6386211";"29. 11.2024";"-"
"50795";"ИП Кан Елена Павловна Магазин «Суши Стор»";"г. Москва, ул. Изумрудная д, 18";"СВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.871011";"37.682916";"28.11..2024";"#33668810"
"151452";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Благо";"Москва г, Заревый проезд, дом 10";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.886035";"37.658508";"28. 11.2024";"#33668891"
