п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"1140ТБ";"ООО «Безопасность Групп»/(Аптека «Таблеточка»)";"Москва ул Болотниковская, 52";"ЦАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.6629211";"37.58264940000001";"новый";"https://durnovcev2000.kaiten.ru/48398743"
"139246";"ИП Горенкова Наталья Александровна (Пункт выдачи заказов ОЗОН)";"Москва Сиреневый бульвар 28";"ЦАО";"Эсток-Сервис";"Хорзов С.В.";"КВ";"55.8024827";"37.80029070000001";"новый";"https://durnovcev2000.kaiten.ru/49033316"
"132776";"ИП Лапаева Вера Сергеевна, /Пекарня Буханка";"Москва г, Автозаводская ул, дом № 23Б, корпус 2";"ЦАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.7052019";"37.6327695";"07.05.2025";"https://durnovcev2000.kaiten.ru/32562661"
"ТО-975";"""ИП Мачульская Кристина Викторовна, Салон Красоты ЗИЛ Наилс Студио""";"Москва г, Автозаводская ул, дом № 23Б, корпус 2";"ЦАО";"Гранит";"Калиниченко А.С.";"КВ";"55.7052019";"37.6327695";"07.05.2025";"https://durnovcev2000.kaiten.ru/32562314"
"91422";"Аптека ""Планета Здоровья""";"МО, г. Одинцово , Можайское шоссе, д. 71 Б";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6773483";"37.2799671";"07.05.2025";"https://durnovcev2000.kaiten.ru/32511995"
"133197";"ООО «ЭЛДОРА ТРЕЙД»/Аптека «Еаптека»";"Москва г, Автозаводская ул, дом № 23Б, корпус 2";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7052019";"37.6327695";"07.05.2025";"https://durnovcev2000.kaiten.ru/37877860"
"137536";"ООО ""Аптека экономия 2""/Аптека ""ФармЛенд""";"Москва,ул.Мурановская,7";"ЦАО";"Технологии Безопасности";"Гунин В.В.";"КВ";"55.89225";"37.597372";"06.05.2025";"https://durnovcev2000.kaiten.ru/40906399"
"133312";"ГКУ чс";"Москва г, Зои и Александра Космодемьянских ул, дом 31 корпус 3";"ЦАО";"Нева-2";"Шагров Д.Д.";"М";"55.82502599999999";"37.52184099999999";"06.05.2025";"https://durnovcev2000.kaiten.ru/33681652"
"90324";"Офис, Аптека Планета Здоровья ООО “Юнити”";"МО, Солнечногорский р-н, д. Брехово, Школьный мкр, 6";"ЦАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.9280134";"37.2021865";"05.05.2025";"https://durnovcev2000.kaiten.ru/33680793"
"133563";"ООО ""Лето"" /Аптека Планета Здоровья";"Московская обл, Красково п, Люберецкий район, Карла Маркса ул, дом 61";"ЦАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.65711169999999";"37.9827659";"24.04.2025";"https://durnovcev2000.kaiten.ru/32562547"
"3668";"ООО «Инрем», Офис";"Москва г, Нижний Сусальный, , дом 5, строение 23";"ЦАО";"Секьюрикоп-техник Краснодар";"Шайхиев А.Р.";"КВ";"55.761152";"37.664744";"23.04.2025";"https://durnovcev2000.kaiten.ru/32562837"
"138554";"ИП Богорова Дарья Витальевна / Кальянная «Мята Lounge»";"п. Сосенское, проспект Прокшинский, дом 12";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.57569650000001";"37.4334381";"23.04.2025";"https://durnovcev2000.kaiten.ru/44541350"
"1515";"Клиника Профессионал";"Трубниковский пер8/15";"ЦАО";"Нева-Технологии";"Химич А.";"М";"55.75131099999999";"37.58724";"23.04.2025";"https://durnovcev2000.kaiten.ru/32563086"
"93107";"Москва Пресненский Вал 4/29 с2";"Москва Пресненский Вал 4/29";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7636";"37.564853";"23.04.2025";"https://durnovcev2000.kaiten.ru/32563029"
"35246";"ООО «МЕД АУДИО» ( магазин слуховых аппаратов)";"Москва г, Земляной Вал ул, дом № 24/32";"ЦАО";"Технологии Безопасности";"Епуре А.А.";"М";"55.749403";"37.6518497";"23.04.2025";"https://durnovcev2000.kaiten.ru/32562905"
"91108";"Филиал №5 ФГКУ ""ГВКГ"" им. Н.Н. Бурденко Минобороны России";"г.Москва, Яковоапостольский ш. д. 8 А";"ЦАО";"Гранит";"Супонников М.С.";"М";"55.7577353";"37.6548114";"23.04.2025";"https://durnovcev2000.kaiten.ru/32562918"
"93058";"Аптека ""Планета Здоровья""";"г. Химки, Маяковского ул., д. 21/13";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.89203000000001";"37.43978";"21.04.2025";"https://durnovcev2000.kaiten.ru/33682077"
"82220 , 82219";"ИП Андреева Елена Николаевна, магазин ткани";"Чаплыгина, д.15, стр.5";"ЦАО";"Аллигатор";"Ахметвалиева В.М.";"КВ";"55.7618498";"37.6500788";"18.04.2025";"https://durnovcev2000.kaiten.ru/32562718"
"90375";"ИП Чунакова Я.В Студия Маникюра";"Г. МОСКВА, УЛ. Маросейка, д. 6-8 стр 1";"ЦАО";"Гранит";"Дубовик А.С.";"КВ";"55.7574524";"37.6346549";"18.04.2025";"https://durnovcev2000.kaiten.ru/32562727"
"90249";"Аптека ""Планета здоровья""";"Москва. ул. Базовская 15/9,";"ЦАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.87737449999999";"37.5067868";"18.04.2025";"https://durnovcev2000.kaiten.ru/33681714"
"1206";"ООО «Смарт Лавка»/Магазин SPAR EXPRESS";"Москва г, Гризодубовой ул, дом 2";"ЦАО";"Эсток-Сервис";"Певзнер Ю.А.";"КВ";"55.78261579999999";"37.531815";"18.04.2025";"https://durnovcev2000.kaiten.ru/33680791"
"138516";"Аптека ""Планета здоровья""";"г.Москва, ул. Шолохова 12";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6388407";"37.3523886";"18.04.2025";"https://durnovcev2000.kaiten.ru/32511923"
"130339";"ООО ""Рантье"", ""Инвитро""";"Москва Комсомольский пр-т, д. 25, к.1";"ЦАО";"Гранит";"Мозговой И.В.";"КВ";"55.72658089999999";"37.5822439";"16.04.2025";"https://durnovcev2000.kaiten.ru/33814828"
"131496";"Гастроном. ООО Комсомольский";"Москва. Комсомольский проспект 27 корпус 5.";"ЦАО";"Гранит";"Христенко Е.А.";"КВ";"55.726055";"37.5814793";"16.04.2025";"https://durnovcev2000.kaiten.ru/33814816"
"84526";"Доктор лазер";"Москва, Мичуринский Пр-кт, д. 25/2";"ЦАО";"Аллигатор";"Супонников М.С.";"КВ";"55.6963106";"37.5045211";"14.04.2025";"https://durnovcev2000.kaiten.ru/33814822"
"132784";"ИП Лапаева Вера Сергеевна/Пекарня Буханка";"Москва г, Архитектора Щусева ул, дом № 1";"ЦАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.6991113";"37.6352099";"11.04.2025";"https://durnovcev2000.kaiten.ru/32562783"
"90283";"ООО ""Сириус"", Ассортида";"Крылатские холмы, д.53";"ЦАО";"Гранит";"Калиниченко А.С.";"КВ";"55.76406799999999";"37.410169";"09.04.2025";"https://durnovcev2000.kaiten.ru/33680096"
"90969";"аптека ""Планета Здоровья""";"г.Москва ул. Митинская 28";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.8486859";"37.38523259999999";"09.04.2025";"https://durnovcev2000.kaiten.ru/33681841"
"91395";"ООО ББС ( Офис Сервис Бюро Бизнеса";"Москва, ул. Маршала Бирюзова д.2";"ЦАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.7904203";"37.5014135";"08.04.2025";"https://durnovcev2000.kaiten.ru/33681057"
"137810";"ООО «ПРОМНАСОСИНЖИНИРИНГ» / Подвал";"Москва,  Большая Грузинская, д. 57, стр. 1";"ЦАО";"Технологии Безопасности";"Михайлов А.Ю.";"КВ";"55.7719211";"37.5815741";"05.04.2025";"https://durnovcev2000.kaiten.ru/36628844"
"93120";"Аптека ""Планета Здоровья""";"Москва пл. Тверская застава д. 5 с. 1";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7757705";"37.5817984";"05.04.2025";"https://durnovcev2000.kaiten.ru/32563000"
"1455";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Благо";"Московская обл, Одинцовский р-н, Одинцово г, Советская ул, дом 1г";"ЦАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.67337449999999";"37.2818569";"01.04.2025";"https://durnovcev2000.kaiten.ru/32511885"
"39577";"ООО «МедОк» (Клиника «Инвитро»)";"г. Москва, ул. Широкая, д.7 корп.1";"ЦАО";"Гранит";"Христенко Е.А.";"КВ";"55.8888264";"37.6568806";"01.04.2025";"https://durnovcev2000.kaiten.ru/33668811"
"131566";"ООО ""АлХрис"" Хостел ""ХРИСТАЛ""";"г. Москва, Кривоколенный переулок, д. 4, с. 3";"ЦАО";"Гранит";"Дубовик А.С.";"М";"55.760709";"37.6337136";"31.03.2025";"https://durnovcev2000.kaiten.ru/32562282"
"81122";"ИП Гладких Ольга Викторовна, Салон красоты ""МОНЕ""";"г. Москва Новинский бульвар д.13";"ЦАО";"Аллигатор";"Супонников М.С.";"КВ";"55.75383";"37.582859";"28.03.2025";"https://durnovcev2000.kaiten.ru/32562372"
"83453";"АО ""УРИ БАНК""";"Новинский б-р, д.8, эт.8";"ЦАО";"Аллигатор";"-";"КВ";"55.7514669";"37.5848928";"28.03.2025";"https://durnovcev2000.kaiten.ru/32562658"
"81214";"ООО «Тами и Ко» Магазин «Henderson» ЦАО ТРЦ ""АФИМОЛЛ Сити""";"Пресненская набережная, дом 2";"ЦАО";"Аллигатор";"Ахметвалиева В.М.";"КВ";"55.7492385";"37.539476";"28.03.2025";"https://durnovcev2000.kaiten.ru/32562762"
"№ 815 ТБ 3";"ООО «Гард-НН»/Банк Казани";"Москва г, ул Новослободская, д. 50/1";"ЦАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.78673999999999";"37.59540399999999";"28.03.2025";"https://durnovcev2000.kaiten.ru/40184489"
"1439";"остановочная платформа МЦК Лужники Лужнецкая Эстакада";"остановочная платформа МЦК Лужники Лужнецкая Эстакада";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.720935";"37.560056";"28.03.2025";"https://durnovcev2000.kaiten.ru/32562129"
"1438";"остановочная платформа МЦК Кутузовская вход с Кутузовская, вход №2 с Кутузовского проспекта ЮГ";"остановочная платформа МЦК Кутузовская вход с Кутузовская, вход №2 с Кутузовского проспекта ЮГ";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.739468";"37.534406";"28.03.2025";"https://durnovcev2000.kaiten.ru/32562130"
"1437";"остановочная платформа МЦК Кутузовская вход с Кутузовского проспекта Север";"Станция МЦК Кутузовская";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.73972";"37.534427";"28.03.2025";"https://durnovcev2000.kaiten.ru/32562142"
"1450";"остановочная платформа МЦК Шелепиха";"Москва, Московское центральное кольцо, станция Шелепиха";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.7566971";"37.525776";"28.03.2025";"https://durnovcev2000.kaiten.ru/32562150"
"90944";"ТО ПС";"г. Москва, ул. Б. Дмитровка 5/6с3";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.76039859999999";"37.6152271";"27.03.2025";"https://durnovcev2000.kaiten.ru/32563017"
"137384";"ООО «Сошиал Крафт» (Квартира)";"Москва г, б-р Чистопрудный, д. 12, к. 4, кв. 33";"ЦАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7615772";"37.6429634";"26.03.2025";"https://durnovcev2000.kaiten.ru/32519875"
