"Дата заявки";"п/н ";"Адрес";"Округ";"Наименование";"Доп. информация";"Телефон клиента или менеджер";"Статус заявки";"Что сделано, отчет техника/инженера по месту";"Комментарий инженера";"Latitude";"Longitude"
"12.02.2024";"135268";"г Королев мкр Текстильщик ул Набережная 20";"-";"Коттедж Коликова Е М";"НКС";"-";"не назначено";"-";"-";"55.9316797";"37.8518552"
"27.02.2024";"131706";"Брянская область г Клинцы ул Октябрьская 5 уч 4 А";"Брянск ";"Пункт выдачи Все Инструменты ООО ВсеИнструменты ру";"ШС 17,21 неисправность ";"-";"не назначено";"-";"-";"52.77431199999999";"32.24246"
"05.03.2024";"131765";"Ногинск ул Рогожская 65";"Ногинск";"Пункт выдачи все инструменты";"21Шс батарейки";"-";"не назначено";"9776788234";"-";"55.857254";"38.443041"
"11.03.2024";"131239";"Московская область Раменский район рп  Ильинский ул. московская д.4/1  пом 5";"Раменское ";" . Стоматология";"акб прибора, аб клавиатуры ";"-";"не назначено";"-";"-";"55.62314199999999";"38.0861249"
"15.03.2024";"32155";"НАО Москвы поселение Воскресенское дер Городище ул Ямская 11";"за коммунаркой ";"Ахмед Шабир коттедж ";"потери связи ";"-";"не назначено";"-";"-";"55.5328539";"37.448643"
"15.03.2024";"134217";" МО, г. Домодедово, мкрн. Северный, ул. Гагарина, 45";"-";"Магазин Табак Вейп ";"Тампер 17 ";"-";"не назначено";"-";"-";"55.4506351";"37.7429115"
"22.03.2024";"40322";"мкр.Востряково, Весенняя, д11";"-";"Коттедж";"Ложные сработки ";"-";"не назначено";"-";"-";"55.3994507";"37.8251095"
"22.03.2024";"130171";"Москва ул Уссурийская 9";"Щелковская";"Аптека Столички ООО Нео Фарм";"Разряд 21 ШС";"-";"не назначено";"-";"-";"55.823839";"37.819162"
"22.03.2024";"131071";"Москва ул Ковшовой Наташи 6 Б";"Озерная";"Магазин продукты Ассортида ИП Соболев В А";"ШС 19 неисправность ";"-";"не назначено";"-";"-";"55.683631";"37.452997"
"22.03.2024";"133017";"г Петушки ул 3 Интернационала 4";"-";"Пункт выдачи Все Инструменты ООО ВсеИнструменты ру";"ШС 31 неисправность ";"-";"не назначено";"-";"-";"55.9364927";"39.4549809"
"22.03.2024";"133884";"Москва ул Велозаводская 3/2";"Дубровка";"Кофейня Дрозд кофе ИП Дроздовская Э М";"Тампер 17 ";"-";"не назначено";"-";"-";"55.7172372";"37.6645622"
"22.03.2024";"135052";"Москва поселение Мосрентген деревня Мамыри 12 строение 10";"-";"Офис внутри сортировочного центра ООО Яндекс";"проблемы со связью";"-";"не назначено";"-";"-";"55.601612";"37.48182"
"25.03.2024";"132558";"г.Щербинка, ул. Железнодорожная 15 стр.3";"Щербинка";"Дом Причта МРО Православ. приход";"заменить АБ 24 зоны и проверить 36";"-";"не назначено";"-";"-";"55.5097423";"37.5636088"
"29.03.2024";"91368";"МО г Дубна проспект Боголюбово 16";"Дубна";"Магазин Галилео ООО Галилео Вест";"тревоги в зоне Х/О ЖДЕТ";"Менеджер Рощин Сергей";"не назначено";"-";"-";"56.73871";"37.167063"
"29.03.2024";"134162";"Люблинская д.76 к.4";"Братиславская";"Пекарня Буханка ООО Восход";"заменить б/п объект ПС";"-";"не назначено";"-";"-";"55.6675209";"37.7386621"
"02.04.2024";"132931";"МО,Люберецкий рн п.Красково Карла Маркса 117 пом 2";"Томилино";"Склад ОО Рысь";"заменить АКБ";"-";"не назначено";"-";"-";"55.6631164";"37.9940147"
"04.04.2024";"131185";"г.Лобня, Ленина д.19 к.1";"Лобня";"Магазин Скупка ООО Путиловец";"заменить АКБ";"-";"не назначено";"-";"-";"56.01183649999999";"37.4791827"
"04.04.2024";"134945";"Оенинский р п. Дрожжино, Южная д.9 к.2";"Щербинка";"Салон Красоты СВ ТП Казначеева С.Б.";" отключили 19 датчик . заехать поменять батарейку";"-";"не назначено";"-";"-";"55.5205493";"37.5895897"
"05.04.2024";"39091";"Домодедовский р-н, д.Тургенево д.43";"Домодедово";"Коттедж";"проверить работоспособность/обучить Х/О";"-";"не назначено";"-";"-";"55.34081279999999";"37.7102564"
"05.04.2024";"84104";"Марьинский бр д.4 ";"Марьино";"Медицинский центр ООО Бизнес Эстейт";"Не прошла боевая КТС. Разряд АКБ.";"-";"не назначено";"89163282677 Александр Николаевич";"-";"55.6475812";"37.749615"
"05.04.2024";"91053";"г.Лыткарино, Первомайская д.19 кв.74";"Лыткарино";"Квартира";"НКС";"-";"не назначено";" Шостаковский Павел Иванович +79166291679";"-";"55.5846665";"37.9011732"
