" Дата";"Пультовый номер объекта";"адрес";"округ";"обьект";"неисправность";"номер клиента ";"Статус заявки";"источник заявки";"Исполнитель Заявки";"Комментарий техника";"Latitude";"Longitude";"3";"Ссылка";"-";"-";"-";"-";"-"
"09.01.2024";"95042";"Москва Краснопресненская набережная 3";"выставочная ";"Рекламный экран билборд";"долбит АКБ более 2-ух месяцев";"-";"не назначено";"Задача № 527817 ";"-";"-";"55.751338";"37.552203";"2";"-";"-";"-";"-";"-";"Новгородцев"
"09.01.2024";"95049";"Москва ул. Новый Арбат 27";"смоленская";"Рекламный экран билборд";"Объект был переключен с пультового номера Андромеда 20474. Должен охраняться. Событий с объекта нет, шлет НКС. Кроме того, имеется карточка Андромеда 28 с аналогичными данными объекта, по которой события идут, но она в стендах. По информации инженера ПЦО переключение произведено некорректно.";"-";"не назначено";"Задача № 527572";"Юра 04.03.24";"-";"55.7519202";"37.5790246";"2";"#29602488";"-";"-";"-";"-";"Канаев"
"09.01.2024";"7825";"СНТ Горелый Лес, 1374";"Ногинск";"коттедж";"Описание проблемы - Связь Заявки подаются, проблема не решается";"-";"не назначено";"Задача № 522891";"Sim-карта исправно не работает сам hub нужна замена";"-";"55.775626";"38.349070";"2";"#33173888";"-";"-";"-";"-";"Кадамшоев"
"21.05.2024";"137403";"Москва г Зеленоград к 44";"Зеленоград";"ГБУ ДО г Москвы СШОР Московское городское физкультурно спортивное объединение Департамента спорта города Москвы  ";"Прописать шлейфы - при проверке КТС прошла под 6 шл.";"-";"не назначено";"Задача № 560643";"-";"-";"55.991886";"37.214386";"2";"-";"-";"-";"-";"-";"Даниелян"
"28.04.2025";"130704";"Москва г, , ул. Никулинская, д. 21";"Озёрная";"ТЦ сентр сити";"130704 перенесен на 139295 после приостановки , поехать поменять ПН на 139295 и вывести н связ";"-";"не назначено";"Задача № 657644 ";"-";"-";"55.6690645";"37.453406";"2";"https://durnovcev2000.kaiten.ru/29792741";"-";"-";"-";"-";"-"
"06.05.2025";"1517";"Москва г, Сосенское п, Летово д, Летовская Малая ул, дом № 105";"Ольховая";"коттедж";"посмотреть и сфоткать какие стояит сим карты";"-";"назначено";"Задача № 660246";"Ковалев 06.05.2025";"-";"55.5576901";"37.4112788";"1";"https://durnovcev2000.kaiten.ru/33681673";"-";"-";"-";"-";"-"
"12.05.2025";"138985";"Московская область г.Чехов Вишневый б-рд 1/3";"Чехов";"АКОБА бар ""высокий градус""";"Отправляли на подключения ТС и ПС мониторинг, ТС на мониторинг подключили а ПС не подключили, прошу направить техника для подключения ПС на мониторинг ";"Кобышев Александр Валентинович +7 926 086-88-61";"назначено";"Вершинина Екатерина Владимировна e.vershinina@ohrana-neva.ru 8-903-371-11-21";"Дурновцев 28.05.2025";"-";"55.1453184";"37.4846721";"1";"https://durnovcev2000.kaiten.ru/48725049";"-";"-";"-";"-";"-"
"19.05.2025";"1779";"г. Москва, п. Сосенское, Скандинавский б-р д 19";"Потапово";" Кофейня DO. BRO Coffee";"Для клиентки важно поставить и снимать с охраны дистанционно, но так как у неё оборудование Контакт 14 настроить нам дистанционно не получается, прошу направить инженера, чтобы выписал IMEI, но дело в том, что клиентке я поставила задачу чтобы поменяли тс , там в любом случае поедет инженер , может объединить, чтобы он не ездил несколько раз.";"Шильникова Татьяна Николаевна +7 921 914-32-38";"назначено";"Бурлакова Дарья Михайловна d.burlakova@ohrana-neva.ru 8-927-519-23-15";"Аракелян 19.05.2025";"-";"55.5667348";"37.49753279999999";"1";"https://durnovcev2000.kaiten.ru/33158539";"-";"-";"-";"-";"-"
"23.05.2025";"1405";" Московская обл, г.о. Богородский, г Электроугли, ул Парковая, д. 14";"Электроугли";"Парк кафе";"Со вчерашнего вечера , ставят на охрану в 18 часов, но постановка охраны происходит в 00.58 по времени , также сегодня сняли с  охраны в 9.29, а по снятию в 10.29, клиентка звонит не понимает почему так происходит , прошу проверить или направить инженера , также запросила историю постановки/снятия, по времени со слов клиентки и самой постановки/снятия время разное.";" Захарова Ольга Вадимовна  +7 915 432-43-07";"назначено";"Бурлакова Дарья Михайловна d.burlakova@ohrana-neva.ru 8-927-519-23-15";"Терехов 28.05.2025";"-";"55.7137943";"38.2154438";"1";"-";"-";"-";"-";"-";"-"
"23.05.2025";"134071";"Красногорск, п. Ильнское-Усово, ул. Архангельская, д. 2";"красногорск";"ООО ""АПТЕКА ЭКОНОМИЯ";"требуется осмотр на предмет подключения мониторинга ПС, по возможности сразу подключать мониторинг и акт приёма передачи гунину для составления ФЗЧ";"-";"назначено";"Гунин";"Дурновцев 27.05.2025";"-";"55.7732032";"37.2440259";"1";"-";"-";"-";"-";"-";"-"
"23.05.2025";"137536";"Москва,ул.Мурановская,7";"Алтуфьево";"ООО ""АПТЕКА ЭКОНОМИЯ";"-";"-";"назначено";"Гунин";"шатохин 28.05 ";"-";"55.8921817";"37.5973865";"1";"https://durnovcev2000.kaiten.ru/34001649";"-";"-";"-";"-";"-"
"23.05.2025";"134844";"Москва, Ленинский проспект, 75/9";"Университет";"ООО ""РОМАШКИ"" аптека";"-";"-";"назначено";"Гунин";"Новгородцев 29.05.2025";"-";"55.6869835";"37.545124";"1";"https://durnovcev2000.kaiten.ru/37470457";"-";"-";"-";"-";"-"
"23.05.2025";"136188";"Москва, ул. Бутлерова 24;";"Беляево";"ООО ""РОМАШКИ"" аптека";"-";"-";"назначено";"Гунин";"Аракелян 27.05.2025";"-";"55.647802";"37.5378999";"1";"https://durnovcev2000.kaiten.ru/33268158";"-";"-";"-";"-";"-"
"23.05.2025";"1719";"  Москва г, ул Новокузнецкая, д. 38, стр. 1 ";"Павелецкая";"Магазин одежды Look.online)";"нужно удалить код на клавиатуре 5252 и поставить новый код 4545";" Клиента +7 906 098-67-86";"назначено";"Михайлов Александр 7999 625 17 07 ";"Кадамшоев 27.05.2025";"-";"55.7324508";"37.6343878";"1";"https://durnovcev2000.kaiten.ru/33268210";"-";"-";"-";"-";"-"
"23.05.2025";"-";"Москва, ул. 1905 года, 4";"Улица 1905 года";"ООО ОП ""АКС ГАРД-НН"" банк Казани";" на объекте не работают КТС";"89055328830 Сколозубова Марина - контакт клиента на объекте";"назначено";"Гусев Павел Игоревич тел.: +7-916-915-77-55 www.ohrana-neva.ru  ";"Кадамшоев 26.05.2025";"-";"55.7649728";"37.561744";"1";"https://durnovcev2000.kaiten.ru/32082191";"-";"-";"-";"-";"-"
"26.05.2025";"136907";"г.Москва,ул.Новинский бульвар,д.8 ";"Смоленская";"ООО Маркет операции ";" Прошу направить техник для проверки работоспосоности оборудования и наличия КТС ";"Бондарев Михаил Васильевич 9268772526 ";"назначено";"Гаврилова Анна";"Новгородцев 29.05.2025";"-";"55.7514669";"37.5848928";"1";"https://durnovcev2000.kaiten.ru/33166855";"-";"-";"-";"-";"-"
"28.05.2025";"136529";"Москва ул.Льва Толстого д.16";"Парк культуры";"ООО Маркет операции ";" Прошу направить техник для проверки работоспосоности оборудования и наличия КТС ";"-";"назначено";"Гаврилова Анна";"Новгородцев 29.05.2025";"-";"55.734148";"37.5887475";"1";"https://durnovcev2000.kaiten.ru/";"-";"-";"-";"-";"-"
"26.05.2025";"137189";"Москва, Братиславская, 14";"Братиславская";"компьютерный клуб";" Необходимо перенести стационарную КТС";"-";"назначено";" Гусев Павел 89169157755";"Новгородцев 28.05.2025";"-";"55.6590934";"37.7550945";"1";"https://durnovcev2000.kaiten.ru/32562023";"-";"-";"-";"-";"-"
"27.05.2025";"1729";" Москвы ОКЦ ЗАО Москва Очаковское шоссе 21 к 2";"Аминьевская";"Библиотека ГБУК г";"НКС на объекте , ПРОПИТСАТЬ ШС";"-";"назначено";"Задача № 658600";"Аракелян 28.05.2025";"-";"55.69059499999999";"37.451757";"1";"https://durnovcev2000.kaiten.ru/34002574";"-";"-";"-";"-";"-"
"27.05.2025";"93337";" Балашиха Красковская 88";"Балашиха";" Нотариус Семенов Николай Александрович,";"настроить систему охраны после ремонта дома.  ";"Николай Александрович 89039778423";"назначено";"Михно С.С.";"Терехов 28.05.2025";"-";"55.716485";"37.90738959999999";"1";"https://durnovcev2000.kaiten.ru/33160796";"-";"-";"-";"-";"-"
"27.05.2025";"137609";"Москва г, вн.тер.г. муниципальный округ Басманный, ул Бауманская, д. 6, стр. 2, офис 806";"Бауманская";"офис";"Клиент планирует переезд и нужно демонтировать КТС и оставить на объекте, как они найдут новый офис они сами отвезут на новый адрес и потом сообщат что бы мы смонтировали";" Николай +7 964 711-43-26";"назначено";"Хорзов Сергей Валерьевич 89053925566 s.horzov@ohrana-neva.ru";"Николаев 28.05.2025";"-";"55.77611839999999";"37.6753264";"1";"https://durnovcev2000.kaiten.ru/50617417";"-";"-";"-";"-";"-"
"28.05.2025";"91055";"Москва.ул. 6-я Радиальная. д. 5, к 2 ";"Царицыно";"магазин продуктов Мясная Лавка  ";"перестало работать оборудование охранное ! Нужен техник на объект. Магазин без охраны .";"Сливко Людмила Анатольевна 89999098721 НАБРАТЬ   ";"назначено";"Калиничченко А.";"Терехов 28.05.2025";"-";"55.6044604";"37.65979069999999";"1";"https://durnovcev2000.kaiten.ru/33160665";"-";"-";"-";"-";"-"
"28.05.2025";"138976";"Москва, ул. Грина, дом 15,";"Улица Старокачаловская";" Ресторан """;"Обьект регулярно ставят под охрану. Визуально всё работает, но при этом обьект не встает под охрану и пульт этих постановок не видит. Прошу отправить инженера для устранения неисправности.";"Эльшан - +7 926 848-04-04";"назначено";" Евгений Александрович Христенко. 8-906-753-62-55, hristenkoeu@yandex.ru";"Дурновцев 29.05.2025";"-";"55.568487";"37.5640116";"1";"https://durnovcev2000.kaiten.ru/48027126";"-";"-";"-";"-";"-"
